번호,화면,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제 결과
47,6-3,실패,1순위,카드 첫 발행 후 6-3 이탈 지속성,매수 또는 매도 중 한쪽에서 카드가 1장 발행된 상태,"1. 카드 발행 직후 경향해석 탭 확인
2. 발행되지 않은 쪽의 누적 조건이 이후에도 6-3 조건을 만족하는지와 무관하게 재확인","한쪽이라도 카드가 발행되면 6-3에서 완전히 벗어나며, 이후 다른 쪽 조건과 무관하게 다시 돌아오지 않는다","실측: 매수 3건(동일 조합) 달성으로 카드가 실제로 발행되었으나(narrative1/2 문장 노출 확인: ""시장 전체 분위기를 근거로 매수했고... 3회 반복했다""), 경향해석 탭 화면에서 매도 후보카드(매도·1/3, 아직 미발행)가 발행된 매수 카드와 동일 화면에 함께 계속 노출됨. 즉 ""한쪽이라도 카드가 발행되면 6-3에서 완전히 벗어난다""는 스펙 전제와 달리, 실제 구현은 발행된 카드와 미발행 후보를 한 화면에 혼합 노출하는 구조임. 이는 스펙이 가정하는 ""6-3/6-4/6-5...""의 이산적(discrete) 화면 전환 개념과 근본적으로 다른 정보 구조로, 후속 48번 이후 항목들의 전제(독립된 6-4/6-5/6-6/6-7/6-8 화면 존재)에 구조적 영향을 주는 중요 발견임."
48,6-4,통과,1순위,6-4 헤더 문구 동일성,"발행일자그룹 정확히 1개, 카드 1장(매수 또는 매도)만 존재",1. 경향해석 탭 진입,헤더 문구와 탭바(경향해석 활성)가 6-3과 동일하게 노출된다,"페이지 상단 헤더(""인사이트/나의 기록 통계"")와 탭바가 6-3 상태와 동일하게 유지됨."
49,6-4,실패,2순위,정책 안내박스 문구 노출,6-4 진입 상태,1. 정책 안내박스 확인,"""기록 3개가 쌓일 때마다 새 카드 발행을 시도해요"" + ""뚜렷한 경향이 안 보이면 이번엔 카드가 발행되지 않을 수 있어요"" 문구가 정확히 노출된다","카드가 1개라도 발행되면 정책 안내박스(""기록 3개가 쌓일 때마다..."") 자체가 화면에서 사라짐. 미발행 후보 상태에만 비슷한 문구(""같은 판단 근거와 당시 상태가 3건 모이면..."")가 노출되며, 이는 스펙이 기대하는 문구와도 다름."
50,6-4,통과,1순위,정책 안내 카피와 실제 발행 로직 불일치 여부 확인,개발 구현 코드/정책문서 3-2 확인 가능한 상태,"1. 화면 카피와 정책문서 3-2의 실제 발행 판정 조건을 대조
2. 개발 구현이 화면 카피 문구(단순화된 안내)를 그대로 로직화하지 않았는지 코드 리뷰 또는 QA로 확인","실제 발행 판정은 정책문서 3-2 기준을 따르고, 화면 카피 문구만으로 로직이 재구현되지 않았다",실측상 3건·동일조합 100% 비율에서 정상 발행된 것은 확인(정책문서 3-2 기준과 모순되지 않음).
51,6-4,실패,1순위,날짜그룹 컨테이너 레이아웃,6-4 진입 상태,1. 날짜그룹 컨테이너 확인,"테두리+배경 구분, 좌측 발행일자 타이틀, 같은 행 우측 상단 ""이 날짜의 카드 전체보기"" CTA가 정확히 배치된다","카드 자체에 발행일자 표시가 전혀 없고(""09.07""은 홈 화면의 알림에만 노출됨), 테두리+배경 구분된 날짜그룹 컨테이너가 존재하지 않으며, ""이 날짜의 카드 전체보기"" CTA도 없음."
52,6-4,실패,1순위,발행 카드 구성 요소 노출,6-4 진입 상태,1. 카드 1장의 구성요소 확인,"좌측 accent bar(매수/매도 색상 구분), reason chip, narrative1, narrative2, ""관련 기록 N건→"" 링크가 모두 노출된다","실제 발행 카드는 accent bar(좌측 색상 막대) 없이 단일 배경 카드로, 상단 배지 ""매수·3건 반복""(연하색)만 유형을 구분함. narrative1/2 문장과 ""관련 기록 N건 보기"" 링크는 존재하나, 스펙이 기대하는 별도 reason chip(매매유형·판단근거·표본수 형식)은 존재하지 않음."
53,6-4,실패,1순위,reason chip 포맷 검증,표본수와 판단근거 메타라벨이 명확한 카드 1장,1. reason chip 텍스트 확인,"""{아이콘}+{매매유형}·{판단근거 메타라벨}·{표본수}건"" 형식과 정확히 일치한다 (예: ""매수·차트 패턴·5건"")","실제 배지 텍스트는 ""매수·3건 반복""로, 스펙이 기대하는 ""{아이콘}+{매매유형}·{판단근거 메타라벨}·{표본수}건"" 형식과 전혀 다름(판단근거 메타라벨 자체가 배지에 노출되지 않음)."
54,6-4,통과,2순위,판단근거 메타라벨 narrative 중복 노출 여부,reason chip에 판단근거 메타라벨이 표시된 카드,"1. narrative1, narrative2 문장 내용 확인",reason chip의 판단근거 메타데이터 라벨이 narrative1/narrative2 문장 안에는 그대로 중복 노출되지 않는다,"reason chip 자체가 판단근거 메타라벨을 노출하지 않아 중복 이슈가 구조적으로 발생하지 않음. narrative 문장(""시장 전체 분위기를 근거로"")도 라벨 문자열을 그대로 반복하지 않고 자연어로 풀어쓰는 방식을 사용."
55,6-4,실패,1순위,'이 날짜의 카드 전체보기' 이동·파라미터 전달,6-4 진입 상태,"1. ""이 날짜의 카드 전체보기"" 클릭",6-7로 이동하며 발행일자가 파라미터로 정확히 전달된다,"""이 날짜의 카드 전체보기"" CTA 자체가 화면에 존재하지 않아 클릭·파라미터 전달 검증이 불가능함(51번과 동일 사유: 날짜그룹 컴테이너와 해당 CTA가 실제 구현에 없음)."
56,6-4,통과,1순위,'관련 기록 N건→' 단독 클릭 가능,6-4 진입 상태,"1. 카드 내 다른 영역 클릭 시도
2. '관련 기록 N건→' 링크 클릭","링크 텍스트 영역만 클릭 가능하며, 클릭 시 6-8로 이동한다","카드 내 다른 영역(배지·제목·narrative) 클릭 시는 반응이 없고, ""관련 기록 N건 보기"" 링크만 단독으로 클릭 가능하며 클릭 시 /insights/related 페이지로 이동함."
57,6-4,보류,1순위,6-4 진입 조건 검증,"발행일자그룹이 정확히 1개, 카드 1장만 존재",1. 경향해석 탭 진입,발행일자그룹 1개 + 카드 1장(매수 또는 매도) 조건일 때만 6-4가 노출된다,"매수측만 보면 ""발행일자그룹 1개+카드 1장"" 조건을 충족하나, 실제 화면에는 동시에 매도 후보카드(미발행)가 함께 노출되어, 스펙이 상정하는 ""카드 1장만 존재하는 단일 화면""과는 구조적으로 다름. 추가 검증 필요."
58,6-5,실패,1순위,6-5 헤더/정책안내 동일성,같은 날짜그룹에 매수1+매도1 카드 존재,1. 경향해석 탭 진입,헤더/탭바/정책안내박스 문구가 6-4와 동일하게 노출된다,"페이지 외부 헤더/탭바는 6-4와 동일하지만, 카드가 둘 다 발행된 상태에서는 정책안내박스 자체가 화면에 존재하지 않음(49번과 동일 사유)."
59,6-5,실패,1순위,매수/매도 카드 고정 순서 배치,같은 날짜그룹에 매수1+매도1 카드 존재,1. 날짜그룹 컨테이너 내 카드 순서 확인,"매수 카드가 상단, 매도 카드가 하단에 고정된 순서로 배치된다","실측: 매도 카드가 상단, 매수 카드가 하단에 배치됨(매도가 더 나중에 발행되어 최신순으로 상단 노출). 스펙이 기대하는 ""매수 고정 상단/매도 고정 하단"" 순서가 아니라 발행시각 최신순 정렬임."
