번호,화면,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제결과
28,2-2,성공,2순위,"""새로 나온 인사이트"" 헤더",인사이트 1건+,헤더 확인,헤더 노출,정상 노출
29,2-2,보류,1순위,인사이트 카드 구성,인사이트 카드 존재,카드 구성요소 확인,"발행일(MM.DD)+narrative2+""최근 N건 중 M건"" 노출","발행일 정상. ""최근 N건 중 M건"" 삭제"
29a,2-2,실패,1순위,narrative2 문장 안정성,인사이트 카드 존재,인사이트 탭 진입 → 홈 복귀 재확인,복귀해도 narrative2 문장이 동일 유지,복귀 시 문장 변경됨. 인사이트 영역 수정 후 재검토
30,2-2,보류,1순위,캐러셀 최대 3개,인사이트 3건+,노출 수 확인,최신순 최대 3개만 노출,미검증(테스트 필요)
31,2-2,보류,2순위,캐러셀 스와이프,인사이트 2건+,좌우 스와이프,최대 3개까지 스와이프 탐색,미검증(테스트 필요)
32,2-2,보류,1순위,카드 탭 이동,인사이트 카드 존재,카드 탭 → 이동 확인,근거 카드 모두보기 페이지로 이동,미검증(테스트 필요)
33,2-2,보류,1순위,인사이트 4건+ 처리,인사이트 4건+,캐러셀·탭 확인,"캐러셀 최신 3개, 나머지는 인사이트 탭에서 확인",미검증(테스트 필요)
34,2-2,실패,2순위,이번 달 기록 카드(2-1 동일),2-2·당월 기록 존재,9·10·11 재검증,2-1과 동일 구성·동작,9·10·11 동일 이슈: 인사이트 보기 미노출(9)·파란 그래프(9a)·전월 집계 배제(10)
35,2-2,성공,2순위,액션 카드(2-1 동일),홈 2-2 진입,12·13·14 재검증,2개 노출·4-1a/3-2a 이동,12·13·14 동일 정상
36,2-2,실패,1순위,최근 기록(2-1 동일),기록 6건+,16~20 재검증,5건 리스트·상세·전체보기·블러 로직 동일,16~20 동일 이슈: 매매 사유 노출(16a)·금액 블러 미처리(18)·해제 검증 불가(20)
37,2-2,성공,2순위,하단 탭바,로그인 상태,탭바·각 탭 확인,4개 탭 노출·이동 정상,정상 동작
38,2-2,실패,1순위,미읽음 인사이트 표식,읽지 않은 인사이트 존재,탭 위 표식 확인,"""인사이트"" 탭 위 빨간 툴팁 ""새로운 인사이트"" 노출","""새로운 인사이트"" 글자 미노출"
39,2-2,성공,1순위,표식 읽음 처리,미읽음 표식 노출 중,인사이트 탭 진입 → 홈 복귀,복귀 시 표식 사라짐(읽음 처리),정상 동작
40,2-2,보류,1순위,표식 재노출 조건,마지막 확인 이후 새 카드 발행,읽음 → 신규 발행 → 표식 확인,표식이 다시 노출된다,미검증(테스트 필요)
41,2-2,실패,2순위,푸터(2-1 동일),최하단 스크롤,3요소 확인,면책·링크 3종·저작권·위치 2-1과 동일,면책 정상 / 링크·저작권 미노출(23·24 동일)
