번호,화면,상태,우선순위,시나리오,사전조건,수행단계,기대결과,실제결과
11,0-1,성공,2순위,헤드라인/서브카피의 줄바꿈 위치가 고정되어 있다,비회원 상태로 최초 접속,다양한 해상도에서 헤드라인/서브카피 줄바꿈 위치 확인,헤드라인/서브카피의 줄바꿈 위치가 고정되어 있다,
12,0-1,실패,1순위,'체험 시작하기' CTA 클릭 시 0-2 화면(연습 매매 1/3)으로 이동한다,비회원 상태로 최초 접속,'체험 시작하기' 클릭 → 0-2 이동 확인,'체험 시작하기' CTA 클릭 시 0-2 화면(연습 매매 1/3)으로 이동한다,3장 캐러셀(카피 3종) 이후 마지막 장에서만 CTA 노출 → 스펙엔 없는 구성
13,0-1,성공,1순위,'이미 계정이 있나요? 로그인' 링크 클릭 시 1-1 로그인 화면으로 이동한다,비회원 상태로 최초 접속,'이미 계정이 있나요? 로그인' 클릭 → 1-1 이동 확인,'이미 계정이 있나요? 로그인' 링크 클릭 시 1-1 로그인 화면으로 이동한다,"  • '이미 계정이 있나요? 로그인' 클릭 시 /login 화면(카카오 가입/로그인 통합 화면)으로 정상 이동
  • 다만 목적지 화면 자체가 1-1 와이어프레임과 다르게 구성되어 있음(1-1/1-2/1-5 관련 항목 참고)"
14,0-2,보류,1순위,"헤더 '연습 매매 · 1/3 · 건너뛰기' 노출, 건너뛰기 클릭 시 0-7로 이동",온보딩 인트로에서 체험 시작,"0-2 진입 → 헤더 문구 확인, 건너뛰기 클릭 → 0-7 이동 확인","헤더 '연습 매매 · 1/3 · 건너뛰기' 노출, 건너뛰기 클릭 시 0-7로 이동","예시 과거 기록 삼성전자·카카오(0-2, 0-3) 예시 2건을 보여주는 화면 구조 자체가 없음. '삼성전자로 연습해 볼까요?' 안내 후 사용자가 직접 매수가·수량 등을 입력하는 4단계 플로우로 대체됨"
15,0-2,보류,1순위,"거래정보카드에 '삼성전자 · 매수', '250,000원 · 10주'가 정확히 표시된다",온보딩 인트로에서 체험 시작,0-2 화면에서 거래정보카드 종목·구분·가격·수량 표시값 확인,"거래정보카드에 '삼성전자 · 매수', '250,000원 · 10주'가 정확히 표시된다","예시 과거 기록 삼성전자·카카오(0-2, 0-3) 예시 2건을 보여주는 화면 구조 자체가 없음. '삼성전자로 연습해 볼까요?' 안내 후 사용자가 직접 매수가·수량 등을 입력하는 4단계 플로우로 대체됨"
16,0-2,보류,1순위,매매이유/그때마음 카드에 선택된 문구가 줄바꿈으로 나열된다,온보딩 인트로에서 체험 시작,0-2 화면에서 매매이유/그때마음 카드 줄바꿈 표시 확인,매매이유/그때마음 카드에 선택된 문구가 줄바꿈으로 나열된다,"예시 과거 기록 삼성전자·카카오(0-2, 0-3) 예시 2건을 보여주는 화면 구조 자체가 없음. '삼성전자로 연습해 볼까요?' 안내 후 사용자가 직접 매수가·수량 등을 입력하는 4단계 플로우로 대체됨"
17,0-2,보류,1순위,'다음' CTA 클릭 시 0-3으로 이동한다,온보딩 인트로에서 체험 시작,0-2에서 '다음' 클릭 → 0-3 이동 확인,'다음' CTA 클릭 시 0-3으로 이동한다,"예시 과거 기록 삼성전자·카카오(0-2, 0-3) 예시 2건을 보여주는 화면 구조 자체가 없음. '삼성전자로 연습해 볼까요?' 안내 후 사용자가 직접 매수가·수량 등을 입력하는 4단계 플로우로 대체됨"
18,0-3,보류,1순위,"헤더 '연습 매매 · 2/3 · 건너뛰기' 노출, 건너뛰기 클릭 시 0-7로 이동",연습 매매 1/3 진행 완료,"0-3 진입 → 헤더 문구 확인, 건너뛰기 클릭 → 0-7 이동 확인","헤더 '연습 매매 · 2/3 · 건너뛰기' 노출, 건너뛰기 클릭 시 0-7로 이동",0-2와 동일 사유
19,0-3,보류,1순위,"거래정보카드에 '카카오 · 매수', '35,000원 · 10주'가 정확히 표시된다",연습 매매 1/3 진행 완료,0-3 화면에서 거래정보카드 종목·구분·가격·수량 표시값 확인,"거래정보카드에 '카카오 · 매수', '35,000원 · 10주'가 정확히 표시된다",0-2와 동일 사유
20,0-3,보류,1순위,'다음' CTA 클릭 시 0-4로 이동한다,연습 매매 1/3 진행 완료,0-3에서 '다음' 클릭 → 0-4 이동 확인,'다음' CTA 클릭 시 0-4로 이동한다,0-2와 동일 사유
21,0-4,보류,1순위,"거래정보카드가 라벨-값 세로 나열형으로 'NAVER / 매수 / 210,000원 / 10주'를 정확히 표시한다",연습 매매 2/3 진행 완료,0-4 화면에서 거래정보카드 라벨-값 세로 표시값 확인,"거래정보카드가 라벨-값 세로 나열형으로 'NAVER / 매수 / 210,000원 / 10주'를 정확히 표시한다",0-2와 동일 사유
22,0-4,보류,1순위,'다음' CTA 클릭 시 0-5로 이동한다,연습 매매 2/3 진행 완료,0-4에서 '다음' 클릭 → 0-5 이동 확인,'다음' CTA 클릭 시 0-5로 이동한다,0-2와 동일 사유
23,0-5,실패,1순위,"헤더 '매수 기록 · 1/3 단계 · 건너뛰기' 노출, 건너뛰기 클릭 시 0-7로 이동",연습 매매 2/3 진행 완료,"0-5 진입 → 헤더 문구 확인, 건너뛰기 클릭 → 0-7 이동 확인","헤더 '매수 기록 · 1/3 단계 · 건너뛰기' 노출, 건너뛰기 클릭 시 0-7로 이동","  • ‘매수 기록 · 2/4 단계 · 건너뛰기’ 노출 → 3단계 플로우에 매매 기본 정보 입력이 추가되어 4단계 플로우가 됨 (스펙 X)
  • 건너뛰기 클릭 시 2/4단계로 넘어감"
24,0-5,성공,2순위,'(n/3)' 카운터가 선택된 소분류 총 개수를 실시간으로 정확히 반영한다,연습 매매 2/3 진행 완료,0-5에서 소분류 칩 선택/해제하며 (n/3) 카운터 실시간 값 확인,'(n/3)' 카운터가 선택된 소분류 총 개수를 실시간으로 정확히 반영한다,
25,0-5,실패,1순위,"대분류 탭 5개가 모두 노출되고, 초기 진입 시 '차트를 보고'만 펼쳐진다",연습 매매 2/3 진행 완료,0-5 최초 진입 시 대분류 5개 노출·펼침 상태 확인,"대분류 탭 5개가 모두 노출되고, 초기 진입 시 '차트를 보고'만 펼쳐진다",초기 진입 시 모든 탭이 닫혀 있음
26,0-5,실패,1순위,'차트를 보고' 외 대분류 탭 클릭 시 무반응,연습 매매 2/3 진행 완료,0-5에서 '차트를 보고' 외 대분류 탭 클릭 → 반응 확인,'차트를 보고' 외 대분류 탭 클릭 시 무반응,5개 대분류 전부 클릭하면 펼쳐짐
27,0-5,성공,2순위,"소분류 칩 다중 선택/해제 토글이 정상 동작하고, '매매 이유 n/3 선택' 카운트가 정확하다",연습 매매 2/3 진행 완료,0-5에서 소분류 칩 다중 선택/해제 후 카운트 문구 확인,"소분류 칩 다중 선택/해제 토글이 정상 동작하고, '매매 이유 n/3 선택' 카운트가 정확하다",
28,0-5,실패,1순위,"소분류 0개 선택 시 '다음' 버튼 비활성, 1개 이상 선택 시 활성화되어 0-6으로 이동한다",연습 매매 2/3 진행 완료,0-5에서 소분류 0개/1개 선택 상태별 '다음' 버튼 활성화 확인,"소분류 0개 선택 시 '다음' 버튼 비활성, 1개 이상 선택 시 활성화되어 0-6으로 이동한다",0개 선택 상태에서도 '다음' 버튼이 계속 활성화됨
29,0-5,성공,1순위,노출되는 대분류/소분류 라벨이 팀 확정 최신 판단근거 분류체계와 동일한 용어인지 확인,연습 매매 2/3 진행 완료,0-5 대분류/소분류 라벨을 최신 분류체계 문서와 대조,노출되는 대분류/소분류 라벨이 팀 확정 최신 판단근거 분류체계와 동일한 용어인지 확인,
30,0-6,실패,1순위,"헤더 '매수 기록 · 2/3 단계 · 건너뛰기' 노출, 건너뛰기 클릭 시 0-7로 이동",판단근거 선택 완료,"0-6 진입 → 헤더 문구 확인, 건너뛰기 클릭 → 0-7 이동 확인","헤더 '매수 기록 · 2/3 단계 · 건너뛰기' 노출, 건너뛰기 클릭 시 0-7로 이동","  • ‘매수 기록 · 3/4 단계 · 건너뛰기’ 노출 → 3단계 플로우에 매매 기본 정보 입력이 추가되어 4단계 플로우가 됨 (스펙 X)
  • 건너뛰기 클릭 시 0-7로 이동"
31,0-6,성공,1순위,"그때마음 칩은 최대 2개까지 선택되고, 미선택↔선택 토글이 정상 동작한다",판단근거 선택 완료,0-6에서 그때마음 칩 2개까지 선택/해제 토글 확인,"그때마음 칩은 최대 2개까지 선택되고, 미선택↔선택 토글이 정상 동작한다",
32,0-6,실패,2순위,2개 선택 후 추가 선택 시 '이 옵션을 선택하려면 하나를 해제해주세요' 토스트가 화면 상단 중앙에 5초간 노출된다,판단근거 선택 완료,0-6에서 2개 선택 후 3번째 칩 클릭 → 토스트 노출 확인,2개 선택 후 추가 선택 시 '이 옵션을 선택하려면 하나를 해제해주세요' 토스트가 화면 상단 중앙에 5초간 노출된다,이미 2개 선택된 상태에서 3번째 칩을 클릭해도 선택되지 않고 카운터도 2/2 유지 — 상한 자체는 정상 차단됨. 다만 안내 토스트는 뜨지 않음 (무음 차단)
33,0-6,성공,1순위,'다음' CTA 클릭 시(또는 최소 1개 선택 없이 '건너뛰기' 클릭 시) 0-7로 이동한다,판단근거 선택 완료,0-6에서 '다음'(또는 미선택 '건너뛰기') 클릭 → 0-7 이동 확인,'다음' CTA 클릭 시(또는 최소 1개 선택 없이 '건너뛰기' 클릭 시) 0-7로 이동한다,
34,0-7,보류,1순위,헤더에 '연습 기록 3건 완료'가 노출된다,판단근거·그때 마음 선택 완료(또는 건너뛰기),0-7 진입 → 헤더 '연습 기록 3건 완료' 문구 확인,헤더에 '연습 기록 3건 완료'가 노출된다,"  • ‘매수 기록 · 4/4 단계’ 노출 후 ‘연습 기록 저장’ CTA 클릭 시 ‘연습 기록 리플레이’로 넘어감 → 스펙에 없는 화면이 추가됨"
35,0-7,보류,1순위,"기록 카드가 3개 노출되고, 마지막 카드에 강조 테두리가 적용되며 종목명·구분뱃지·순번이 정확히 표시된다",판단근거·그때 마음 선택 완료(또는 건너뛰기),0-7에서 기록 카드 3개·강조 테두리·순번 표시 확인,"기록 카드가 3개 노출되고, 마지막 카드에 강조 테두리가 적용되며 종목명·구분뱃지·순번이 정확히 표시된다",3건 예시 루프 구조 자체가 없고 삼성전자 1건만 기록/리플레이됨
36,0-7,보류,1순위,삼성전자/카카오 카드 내용이 0-2/0-3 고정 예시값과 완전히 일치한다,판단근거·그때 마음 선택 완료(또는 건너뛰기),0-7의 삼성전자/카카오 카드 내용을 0-2/0-3 표시값과 대조,삼성전자/카카오 카드 내용이 0-2/0-3 고정 예시값과 완전히 일치한다,3건 예시 루프 구조 자체가 없고 삼성전자 1건만 기록/리플레이됨
37,0-7,보류,1순위,NAVER 카드의 매매이유·그때마음 표시값이 0-5/0-6에서 실제 선택한 값과 정확히 일치하는지,판단근거·그때 마음 선택 완료(또는 건너뛰기),0-5/0-6에서 실제 선택한 값과 0-7 NAVER 카드 값 대조,NAVER 카드의 매매이유·그때마음 표시값이 0-5/0-6에서 실제 선택한 값과 정확히 일치,"  • NAVER가 아닌 ‘삼성전자’로 표시 (3건 예시 루프 자체가 없고 삼성전자 1건만 기록됨)
  • 기본 매매 입력 값(스펙에 없음), 판단 근거·당시 상태는 사용자 선택 값으로 표시
  • 매매 이유가 ‘판단 근거’로 표시, 그때 마음이 ‘당시 상태’로 표시"
38,0-7,보류,1순위,'인사이트 리포트 확인하기' CTA 클릭 시 0-8a로 이동한다,판단근거·그때 마음 선택 완료(또는 건너뛰기),0-7에서 '인사이트 리포트 확인하기' 클릭 → 0-8a 이동 확인,'인사이트 리포트 확인하기' CTA 클릭 시 0-8a로 이동한다,"  • '인사이트 리포트 확인하기' CTA가 없음 → ‘다음’ CTA만 있음
  • ‘다음’ CTA 클릭 시 ‘첫 연습 기록을 남겼어요’, ‘실제 매매를 같은 방식으로 3번 기록하면반복되는 판단 패턴을 보여 드려요.’ 화면만 존재 (스펙에 없음)"
39,0-7,보류,1순위,"'건너뛰기'로 0-5/0-6 입력을 생략한 경우, 0-7의 NAVER 카드(매매이유/그때마음)에는 고정 값 노출",-,0-5/0-6 건너뛰고 0-7 진입 → NAVER 카드 고정값 확인,"  • '건너뛰기'로 0-5/0-6 입력을 생략한 경우, 0-7의 NAVER 카드(매매이유/그때마음)에는 고정 값 노출
  • 매매 이유: 차트를 보고 · 차트에서 자주 멈추던 가격대를 뚫고 움직여서
  • 그때 마음: 많이 떨어져 있어서 지금이 기회라고 봤다(줄바꿈)지금 아니면 놓칠 것 같았다",매매 이유 및 당시 상태 모두 ‘선택하지 않음’으로 표시
40,0-8a,보류,1순위,헤더에 '연습 기록 3건 기준'이 고정 노출된다,연습 기록 리플레이 확인 완료,0-8a 진입 → 헤더 '연습 기록 3건 기준' 문구 확인,헤더에 '연습 기록 3건 기준'이 고정 노출된다,온보딩 내 인사이트 화면 없음
41,0-8a,보류,1순위,'대시보드' / '경향해석' 탭 전환이 각각 0-8a / 0-8b로 정상 랜딩된다,연습 기록 리플레이 확인 완료,0-8a에서 '경향해석' 탭 클릭 → 0-8b 랜딩 확인 (역방향도 확인),'대시보드' / '경향해석' 탭 전환이 각각 0-8a / 0-8b로 정상 랜딩된다,온보딩 내 인사이트 화면 없음
42,0-8a,보류,1순위,"대시보드의 모든 수치(3건 구성비, 파이차트, TOP3 조합 등)가 표시 스펙과 정확히 일치한다",연습 기록 리플레이 확인 완료,0-8a 대시보드 수치를 스펙 문서 수치와 하나씩 대조,"대시보드의 모든 수치(3건 구성비, 파이차트, TOP3 조합 등)가 표시 스펙과 정확히 일치한다",온보딩 내 인사이트 화면 없음
43,0-8a,보류,1순위,대시보드 수치·문구가 0-5/0-6 실제 선택과 무관하게 항상 고정 노출된다,연습 기록 리플레이 확인 완료,0-5/0-6에서 다른 값을 선택해가며 0-8a 수치 변화 여부 확인,대시보드 수치·문구가 0-5/0-6 실제 선택과 무관하게 항상 고정 노출된다,온보딩 내 인사이트 화면 없음
44,0-8a,보류,1순위,'회원가입하고 시작하기' CTA 클릭 시 1-2 회원가입 화면으로 이동한다,연습 기록 리플레이 확인 완료,0-8a에서 '회원가입하고 시작하기' 클릭 → 1-2 이동 확인,'회원가입하고 시작하기' CTA 클릭 시 1-2 회원가입 화면으로 이동한다,온보딩 내 인사이트 화면 없음
45,0-8b,보류,1순위,안내 카드 문구('기록 3개가 쌓일 때마다...') 및 경향 해석 문구가 오탈자 없이 정확히 노출된다,대시보드 탭 확인 완료,0-8b 안내 카드·경향 해석 문구를 원문과 대조,안내 카드 문구('기록 3개가 쌓일 때마다...') 및 경향 해석 문구가 오탈자 없이 정확히 노출된다,온보딩 내 인사이트 화면 없음
46,0-8b,보류,1순위,경향해석 카드도 0-5/0-6 실제 선택과 무관하게 고정 노출된다,대시보드 탭 확인 완료,0-5/0-6에서 다른 값을 선택해가며 0-8b 카드 변화 여부 확인,경향해석 카드도 0-5/0-6 실제 선택과 무관하게 고정 노출된다,온보딩 내 인사이트 화면 없음
47,0-8b,보류,1순위,"'회원가입하고 시작하기' CTA 클릭 시 1-2로 이동, 서브텍스트 '지금까지의 연습 기록은 저장되지 않아요'가 노출된다",대시보드 탭 확인 완료,"0-8b에서 '회원가입하고 시작하기' 클릭 → 1-2 이동, 서브텍스트 확인","'회원가입하고 시작하기' CTA 클릭 시 1-2로 이동, 서브텍스트 '지금까지의 연습 기록은 저장되지 않아요'가 노출된다",온보딩 내 인사이트 화면 없음
48,0-8b,보류,1순위,"연습 기록이 서버/DB에 저장되지 않는지, 재접속 시 온보딩이 처음부터 재시작되는지 확인",대시보드 탭 확인 완료,온보딩 완료 후 새로고침/재접속 → 기록 저장 여부·재시작 여부 확인,"연습 기록이 서버/DB에 저장되지 않는지, 재접속 시 온보딩이 처음부터 재시작되는지 확인",온보딩 내 인사이트 화면 없음
49,1-1,보류,1순위,1-2의 '이미 계정이 있나요? 로그인' 클릭 또는 온보딩 등 다른 진입점에서 로그인 의도로 진입 시 노출된다,로그인 화면 진입,1-2 로그인 링크 또는 다른 진입점에서 1-1 진입 확인,1-2의 '이미 계정이 있나요? 로그인' 클릭 또는 온보딩 등 다른 진입점에서 로그인 의도로 진입 시 노출된다,카카오 전용 단일 로그인/가입 화면(/login)만 존재. 이메일 로그인 화면이 별도로 없음
50,1-1,보류,1순위,"'카카오로 로그인' 버튼 탭 시 OAuth 진행, 성공 시(기존 회원) 홈(2.1)으로 진입한다",로그인 화면 진입,"1-1에서 '카카오로 로그인' 클릭 → OAuth 진행, 홈 진입 확인","'카카오로 로그인' 버튼 탭 시 OAuth 진행, 성공 시(기존 회원) 홈(2.1)으로 진입한다",카카오 전용 단일 로그인/가입 화면(/login)만 존재. 이메일 로그인 화면이 별도로 없음
51,1-1,보류,1순위,'회원가입' 링크 클릭 시 1-2 화면으로 이동한다,로그인 화면 진입,1-1에서 '회원가입' 링크 클릭 → 1-2 이동 확인,'회원가입' 링크 클릭 시 1-2 화면으로 이동한다,카카오 전용 단일 로그인/가입 화면(/login)만 존재. 이메일 로그인 화면이 별도로 없음
52,1-1,보류,1순위,'로그인' CTA 클릭 시 인증 성공하면 메인(홈)으로 이동한다,로그인 화면 진입,1-1에서 로그인 성공 처리 후 메인(홈) 이동 확인,'로그인' CTA 클릭 시 인증 성공하면 메인(홈)으로 이동한다,카카오 전용 단일 로그인/가입 화면(/login)만 존재. 이메일 로그인 화면이 별도로 없음
53,1-2,실패,2순위,비회원 상태이면서 재진입 쿠키가 존재할 경우 해당 화면으로 랜딩되는지 확인,회원가입 화면 진입,재진입 쿠키 있는 비회원 상태로 1-2 접근 → 랜딩 위치 확인,비회원 상태이면서 재진입 쿠키가 존재할 경우 해당 화면으로 랜딩되는지 확인,"  • 현재 1-2 회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음
  • 온보딩을 끝낸 후 재진입 시 /home으로 랜딩"
54,1-2,보류,1순위,비회원이 체험 모드(온보딩)에서 회원가입 유도 CTA를 탭했을 때 온보딩에서 전체화면으로 전환되며 노출된다,회원가입 화면 진입,온보딩에서 회원가입 유도 CTA 탭 → 1-2 전체화면 전환 확인,비회원이 체험 모드(온보딩)에서 회원가입 유도 CTA를 탭했을 때 온보딩에서 전체화면으로 전환되며 노출된다,"온보딩 인사이트 화면(0-8a, 0-8b)이 구현되어 있지 않음 → 현재 온보딩 마지막 화면인 ‘첫 연습 기록을 남겼어요’ 화면 내 ‘가입하고 실제 기록 시작’을 통해 진입은 가능"
55,1-2,보류,1순위,"'이메일로 계속하기' 선택 시, 신규 계정이면 1-3으로, 기존 연동 계정이면 1-1 로그인 화면으로 이동한다",회원가입 화면 진입,"1-2에서 '이메일로 계속하기' 선택, 신규/기존 계정별 이동 확인","'이메일로 계속하기' 선택 시, 신규 계정이면 1-3으로, 기존 연동 계정이면 1-1 로그인 화면으로 이동한다",회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음
56,1-2,보류,1순위,"'카카오로 시작하기' 선택 시 OAuth 진행 후, 받은 회원 ID가 기존 가입 회원 ID와 불일치(신규)하면 1-4로 이동한다",회원가입 화면 진입,1-2에서 카카오로 시작 → OAuth 후 신규 판별 시 1-4 이동 확인,"'카카오로 시작하기' 선택 시 OAuth 진행 후, 회원 ID가 기존 가입 회원 ID와 불일치(신규)하면 1-4로 이동한다",카카오 로그인 개발 진행 중
57,1-2,보류,1순위,소셜 로그인 시 받은 회원 ID가 기존 가입 회원 ID와 일치하면 신규가입이 아닌 로그인으로 처리되어 중복 계정이 생성되지 않는다,회원가입 화면 진입,기존 가입 회원 ID로 소셜 로그인 시도 → 중복가입 아닌 로그인 처리 확인,소셜 로그인 시 받은 회원 ID가 기존 가입 회원 ID와 일치하면 신규가입이 아닌 로그인으로 처리되어 중복 계정이 생성되지 않는다,카카오 로그인 개발 진행 중
58,1-2,보류,2순위,OAuth 실패(네트워크 오류/사용자 취소) 시 원래 화면을 유지하고 에러 토스트만 노출한다,회원가입 화면 진입,OAuth 진행 중 네트워크 오류/취소 → 원화면 유지·에러 토스트 확인,OAuth 실패(네트워크 오류/사용자 취소) 시 원래 화면을 유지하고 에러 토스트만 노출한다,카카오 로그인 개발 진행 중
59,1-2,보류,1순위,이미 가입된 소셜 계정으로 재시도 시 1-1 로그인 화면으로 이동한다,회원가입 화면 진입,이미 가입된 소셜 계정으로 재가입 시도 → 1-1 이동 확인,이미 가입된 소셜 계정으로 재시도 시 1-1 로그인 화면으로 이동한다,카카오 로그인 개발 진행 중
60,1-2,보류,1순위,'이미 계정이 있나요? 로그인' 링크 클릭 시 1-1 화면으로 이동한다,회원가입 화면 진입,1-2에서 '이미 계정이 있나요? 로그인' 클릭 → 1-1 이동 확인,'이미 계정이 있나요? 로그인' 링크 클릭 시 1-1 화면으로 이동한다,"  • 회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음
  • 스펙에 없는 ‘카카오 없이 둘러보기’ CTA 존재"
61,1-3,보류,1순위,1-2에서 '이메일로 계속하기' 선택 시 노출된다,이메일로 계속하기 선택,1-2에서 '이메일로 계속하기' 선택 → 1-3 노출 확인,1-2에서 '이메일로 계속하기' 선택 시 노출된다,"  • 회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음"
62,1-3,보류,1순위,"비밀번호는 영문/숫자/특수문자(공백 제외) 중 2종 이상 조합, 10자 이상이어야 유효하다",이메일로 계속하기 선택,1-3 비밀번호 필드에 다양한 조합·자릿수 입력해 유효성 확인,"비밀번호는 영문/숫자/특수문자(공백 제외) 중 2종 이상 조합, 10자 이상이어야 유효하다",회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음
63,1-3,보류,1순위,비밀번호 확인 필드는 비밀번호와 완전히 일치해야 한다 (대소문자 구분),이메일로 계속하기 선택,1-3 비밀번호 확인 필드에 다른 값/대소문자 다른 값 입력해 확인,비밀번호 확인 필드는 비밀번호와 완전히 일치해야 한다 (대소문자 구분),회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음
64,1-3,보류,1순위,"닉네임은 최소 2자, 최대 10자이며 중복은 허용된다",이메일로 계속하기 선택,1-3 닉네임 필드에 1자/2자/10자/11자 입력해 유효성 확인,"닉네임은 최소 2자, 최대 10자이며 중복은 허용된다",회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음
65,1-3,보류,1순위,4개 필드(이메일/비밀번호/비밀번호확인/닉네임) 모두 유효성 통과 시에만 '가입하기' CTA가 활성화된다,이메일로 계속하기 선택,1-3에서 4개 필드를 하나씩 채우며 CTA 활성화 시점 확인,4개 필드(이메일/비밀번호/비밀번호확인/닉네임) 모두 유효성 통과 시에만 '가입하기' CTA가 활성화된다,회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음
66,1-3,보류,1순위,'가입하기' CTA 클릭 시 1-5 약관 동의 화면으로 이동한다,이메일로 계속하기 선택,1-3에서 '가입하기' 클릭 → 1-5 이동 확인,'가입하기' CTA 클릭 시 1-5 약관 동의 화면으로 이동한다,회원가입 선택 화면이 따로 없고 약관 동의 + '카카오로 시작하기'가 한 화면(/login)에 합쳐져 있음
