번호,화면,상태,우선순위,시나리오,사전 조건,수행 단계,기대 결과,실제 결과
19,4-3b,성공,2순위,매매 이유 소분류 선택,매매 정보 입력,매매 이유 소분류 클릭,대분류를 클릭하면 섹션이 펼쳐지며 하위 소분류가 노출된다,대분류를 클릭하면 섹션이 펼쳐지며 하위 소분류가 노출된다
20,"4-3b, 4-6",실패,2순위,대분류 확장 상태 유지,매매 정보 입력,매매 이유 소분류 클릭,선택된 소분류가 속하는 대분류는 펼쳐진 상태를 유지하여 노출된다.<br>배경이 연한 하늘색으로 변경된다.<br>다른 대분류를 탭해도 펼쳐진 상태로 유지된다.,선택된 소분류가 속하는 대분류가 펼쳐진 상태로 유지되지 않는다. 다른 대분류를 클릭할 경우 다시 접혀지며 색상도 하늘색으로 유지되지 않는다.
21,"4-3b, 4-6",실패,1순위,옵션 미선택 시 CTA 비활성화,매매 정보 입력,매매 이유 소분류 미클릭,소분류 미선택 시 CTA가 비활성화되며 다음으로 못 넘어간다,CTA가 항시 활성화 상태이며 다음으로 넘어갈 수 있다
22,"4-6, 4-3b",실패,2순위,소분류 4개째 선택 시 토스트 메시지,매매 정보 입력,매매 정보 입력 \> 이유 4개 선택,소분류를 3개 선택한 상태에서 하나 더 선택할 경우 “이 옵션을 선택하려면 하나를 해제해주세요” 토스트 메시지가 화면 상단 중앙에 뜬다,토스트 메시지가 뜨지 않는다
23,"4-4, 4-7",실패,2순위,옵션 미선택 시 토스트 메시지,매매 이유 선택 완료,당시 감정 3개 선택,옵션 2개 선택 환료 후 다른 옵션을 클릭할 경우 “이 옵션을 선택하려면 하나를 해제해주세요” 토스트가 상단 중앙에 5초간 노출,옵션 2개 선택 환료 후 다른 옵션을 클릭할 경우 토스트 미노출
24,"4-4, 4-7",실패,1순위,옵션 미선택 시 CTA 비활성화,매매 이유 선택 완료,당시 감정 미선택,옵션 1개라도 미선택 시 CTA 비활성화,CTA가 항시 활성화되며 옵션 미선택 시 다음 단계로 진행 가능
25,"4-4, 4-7, 4-8",실패,2순위,기록 저장 시 팝업 화면 노출,당시 감정 선택 완료,당시 감성 선택 \> 저장 클릭,4-4 혹은 4-7에서 기록 저장 클릭 시 4-8 팝업이 노출,4-4 혹은 4-7에서 기록 저장 클릭 시 4-8 팝업이 미노출
26,4-8,실패,1순위,저장 클릭 시 기록 상세 화면으로 랜딩,당시 감정 선택 완료,당시 감성 선택 \> 저장 클릭,기록 저장 시점에 스냅샷된 계획 유무와 계획 유형(매수 혹은 매도)에 따라 5-2\~5-9 화면 중 하나로 랜딩,홈 화면으로 랜딩
27,5-1,성공,2순위,기록 목록의 전체·매수·매도 필터를 적용한다,매수 2건·매도 2건,각 필터 탭 선택,"전체 4건, 매수 2건, 매도 2건만 최신순 표시된다.",
28,5-1,성공,1순위,기록이 없는 사용자의 빈 상태를 표시한다,"가입 완료, 기록 0건",기록 탭 진입,오류나 빈 목록 대신 첫 기록을 유도하는 빈 상태가 표시된다.,
29,5-1,실패,1순위,기록 목록을 최근 매매일자 순으로 표시한다,서로 다른 매매일자의 기록 3건 존재,기록 탭 진입,매매일자가 최신인 기록부터 정렬된다.,매매 일자 순이 아닌 최근 등록순으로 표시
30,5-1,실패,2순위,"기록 카드 리스트에 종목명, 매수/매도 배지, 매매일자, 수량·매매가를 표기하고, 매매 이유와 판단 근거를 표기한다.",매매 기록 작성,매매 기록 작성 → 기록 탭 진입,"각 기록리스트에 종목명, 매수/매도 배지, 매매일자, 수량·매매가를 표기하고 매매이유와 판단 근거를 표기한다.","각 기록리스트에 종목명, 매수/매도 배지, 매매일시, 매매가를 표기함"
31,"5-2, 5-3, 5-4, 5-5, 5-6, 5-7, 5-8, 5-9",실패,2순위,"기록 상세 페이지에서 매매 이유, 그때 마음을 규칙에 맞게 표시한다",기록 등록→ 기록 상세 페이지,기록 탭 진입 → 기록 상세 페이지 진입,"기록 상세 페이지에서 ""매매이유"": 판단근거 선택값 나열, 형식 : \{대분류 값\}·\{소분류 선택값\}, 2개 이상일 때 대분류 1개 당 줄바꿈 1회로 구분, ""그때 마음"": 당시 상태 선택값 나열, 2개 이상일 때 선택값 1개 당 줄바꿈 1회로 구분 규칙에 따라 매매 이유와 그때 마음을 표시한다","“판단 근거”+소분류 선택값 줄바꿈으로 구분, “당시 상태”+선택값 줄바꿈으로 구분"
32,"5-2, 5-6",성공,2순위,매매일시 중 시간 없이 저장한 기록은 시간없이 날짜만 표시한다,매매 기록을 시간을 지정하지 않고 저장,목록에서 기록 선택,"매매일시 저장 중 시간없이 저장한 기록인 경우, 매매날짜만 표시한다.",1. 매매 기록 등록 시 “시간 없음” 버튼 없음 → 직접 시간 지우기는 가능<br>2. 직접 시간 지우기 후 저장 시 DB에 NULL로 저장되고 기록 상세페이지에 시간 없이 날짜만 표기
33,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9, 5-12",보류,1순위,"기록 상세의 계획 카드의 X버튼을 클릭하면 화면 5-12로 이동 후, 계획이 삭제된다.",매도 기록과 계획 조합 준비,기록 상세 → 계획 카드 X버튼 클릭 → 재확인 팝업에서 “네” 클릭 → 기록 삭제,"기록 상세에서 계획 카드의 X버튼을 클릭하면 화면 5-12로 이동하여 삭제를 재확인하고, 삭제 시 기록에서 계획 데이터가 삭제된다. (기록 데이터에서 해당 계획의 스냅샷 데이터를 NULL로 변경)",계획 대조/미리보기/계획 유도 카드 존재하지 않아서 X버튼 클릭 불가
34,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9, 5-10, 5-11",보류,1순위,"기록 상세의 계획 유도 카드 클릭 시, 해당 기록의 종목명과 동일한 종목명의 새로운 계획을 등록한다",매수/매도 기록 저장,기록 상세 → 계획 유도 카드 클릭 → 5-10/5-11 화면으로 이동,기록 상세에서 계획 유도 카드를 클릭하면 기록의 종목명을 가진 새로운 계획을 등록하는 화면으로 이동한다.,계획 유도 카드가 존재하지 않음
35,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9, 5-10, 5-11",보류,1순위,"기록 상세에서 종목명의 새로운 계획을 등록한 후, 해당 기록 상세 페이지로 돌아온다",매수/매도 기록 저장,기록 상세 → 계획 유도 카드 클릭 → 5-10/5-11 화면으로 이동→기록 상세로 복귀,기록 상세→계획 유도→계획 등록 플로우 완료 후 기존의 기록의 상세 페이지로 이동하고 새로운 계획 데이터가 반영된다,계획 유도 카드가 존재하지 않아 테스트 불가
36,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9, 5-10, 5-11",보류,1순위,"기록 상세에서 계획 유도 카드를 클릭 시, 해당 종목명에 기존 계획이 존재하면 계획 데이터를 불러와 이를 수정하도록 한다",매수/매도 기록 저장,기록 상세 → 계획 유도 카드 클릭 → 5-10/5-11 화면으로 이동→기록 상세로 복귀,"기록 상세→계획 유도→계획 등록 플로우에서 기록 종목명과 동일한 계획이 이미 존재할 시, 해당 계획 내용을 불러와 입력창에 프리필하고 이를 수정할 수 있도록 한다. 저장 시에는 계획 데이터를 갱신한다.",계획 유도 카드가 존재하지 않아 테스트 불가
37,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9",보류,2순위,"기록 상세에서 매수 기록은 매도 계획, 매도 기록은 매수 계획이 없을 때, 각 계획을 유도하는 카드를 표시한다",매수/매도 기록 저장,기록 등록 → 기록 상세,"기록 상세에서 매수 기록은 매도 계획, 매도 기록은 매수 계획이 없을 떄, 각 계획을 유도하는 카드를 표시한다",계획 유도 카드가 존재하지 않아 테스트 불가
38,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9",보류,1순위,기록 상세의 계획 카드는 탭해도 이동하지 않는다,계획 카드가 표시된 상세,대조/미리보기 카드 본문 탭,화면 이동이나 값 변경이 발생하지 않는다.,기록 상세페이지 내 계획 카드가 없음
39,"5-3, 5-4, 5-5, 5-6, 5-7, 5-8, 5-9",실패,1순위,계획 존재 조합 4종에 따라 저장 확인 화면을 분기한다,동일 종목의 매수·매도 계획 존재 여부를 조합별 준비,매수 기록 저장을 계획 없음/매수만/매도만/둘 다 조건에서 반복,각 조건에 맞춰 5-2\~5-9 화면이 노출되고 필요한 계획 등록 유도·대조·미리보기가 정확히 구성된다.,1. 계획이 없는 기록: 매수 기록→매도 계획/매도 기록→매수 계획을 유도하는 카드가 존재하지 않음 <br>  2. 계획이 있는 기록: 계획과 기록을 대조하는 카드와 계획을 미리볼 수 있는 카드가 존재하지 않음
40,4-8,실패,1순위,"매매 기록과 계획을 맵핑해서 저장할 때, 저장 당시 계획의 내용을 스냅샷 데이터로 기록 내용과 함께 저장한다.","로그인, 계획이 있는 종목명으로 매매 기록 작성",계획 등록→ 동일 종목명의 매매 기록 작성 → 3/3단계 저장 버튼 클릭,"동일한 종목명의 계획의 내용이 저장 시점에 스냅샵 데이터로 매매기록에 함께 저장된다. (계획 id 참조가 아니라 희망 매수 구간/손절,희망매도가를 그대로 기록 데이터에 저장하는 방식)",동일한 종목명의 계획의 id를 매매 기록 데이터 테이블에 저장하는 방식
41,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9",보류,1순위,실제 매수가를 계획 희망 매수 구간과 연결해 대조하는 카드를 제시한다,동일 종목 매수 계획 존재,매수 기록 저장 → 저장 확인/상세의 계획 대비 실제 확인,해당 종목·매수 유형 계획이 연결되고 실제가가 구간보다 낮음/안/높음으로 정확히 판정된다.,"매수/매도 모두 계획과 대조하거나 미리보는 카드가 존재하지 않고, 3가지로 입력받은 계획 정보가 기록 상세보기에서 매매 정보와 함께 텍스트로 노출됨"
42,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9",보류,1순위,"실제 매도가를 계획 손절가, 목표가와 연결해 대조하는 카드를 제시한다",동일 종목 매도 계획 존재,매도 기록 저장 → 저장 확인/상세의 계획 대비 실제 확인,해당 종목·매도 유형 계획이 연결되고 실제가가 구간보다 낮음/안/높음으로 정확히 판정된다.,"매수/매도 모두 계획과 대조하거나 미리보는 카드가 존재하지 않고, 3가지로 입력받은 계획 정보가 기록 상세보기에서 매매 정보와 함께 텍스트로 노출됨"
43,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9",보류,2순위,실제 매수가를 계획 희망 매수 구간과 연결해 매수 범위 바를 표시한다,동일 종목 매수 계획 존재,매수 기록 저장 → 저장 확인/상세의 계획 대비 실제 확인,해당 종목·매수 유형 계획이 연결되고 실제가를 희망 구간의 범위 바에 정확한 위치로 표시한다,"매수/매도 모두 계획과 대조하거나 미리보는 카드가 존재하지 않고, 3가지로 입력받은 계획 정보가 기록 상세보기에서 매매 정보와 함께 텍스트로 노출됨"
44,"5-3, 5-4, 5-5, 5-7, 5-8, 5-9",보류,2순위,"실제 매도가를 계획 손절가, 목표가와 연결해 매도 범위 바를 표시한다",동일 종목 매도 계획 존재,매도 기록 저장 → 저장 확인/상세의 계획 대비 실제 확인,해당 종목·매수 유형 계획이 연결되고 실제가를 희망 매도 구간의 범위 바에 정확한 위치로 표시한다,"매수/매도 모두 계획과 대조하거나 미리보는 카드가 존재하지 않고, 3가지로 입력받은 계획 정보가 기록 상세보기에서 매매 정보와 함께 텍스트로 노출됨"
